age,pop2018,pop2019,pop2020,pop2021
0,1145.4091,1185.428,1207.4041,1172.375
1,1109.923,1140.614,1179.925,1203.9659
2,1143.363,1107.38,1137.9139,1178.015
3,1162.074,1141.823,1105.834,1136.92
4,1148.708,1161.135,1140.834,1105.3149
5,1144.179,1148.123,1160.474,1140.4919
6,1126.355,1143.754,1147.649,1160.208
7,1106.578,1126.084,1143.431,1147.505
8,1106.249,1106.447,1125.897,1143.415
9,1152.3521,1106.272,1106.406,1126.0551
10,1063.082,1152.4041,1106.277,1106.6331
11,1038.995,1063.1281,1152.345,1106.462
12,999.45599,1039.048,1063.098,1152.519
13,956.90601,999.59302,1039.067,1063.408
14,909.78601,957.12097,999.65198,1039.467
15,880.18298,910.08698,957.21698,1000.157
16,889.17401,880.44598,910.13,957.70203
17,892.26202,889.28802,880.36798,910.54199
18,924.47998,892.18201,888.99701,880.64301
19,932.29999,924.13702,891.67798,889.07001
20,954.55499,931.72302,923.362,891.55402
21,1017.894,953.651,930.67902,922.90997
22,1057.913,1016.445,952.21399,929.82202
23,1072.332,1055.9351,1014.482,950.888
24,1092.311,1069.864,1053.47,1012.543
25,1110.178,1089.353,1066.976,1050.989
26,1140.308,1106.7469,1086.032,1064.049
27,1139.02,1136.299,1102.9561,1082.6
28,1171.899,1134.5601,1131.999,1099.063
29,1180.006,1166.864,1129.908,1127.646
30,1173.2679,1174.525,1161.745,1125.264
31,1130.822,1167.459,1169.085,1156.703
32,1063.85,1124.931,1161.804,1163.764
33,1018.893,1058.079,1119.269,1156.261
34,976.73199,1013.164,1052.569,1113.6639
35,943.68298,971.05402,1007.695,1047.03
36,893.44897,937.99597,965.60498,1002.098
37,846.362,887.84497,932.50201,959.95099
38,772.82501,840.79498,882.39398,926.755
39,688.26599,767.46301,835.354,876.68103
40,616.16699,683.19897,762.21301,829.664
41,564.43402,611.33301,678.24298,756.73602
42,543.61298,559.71997,606.63,673.07202
43,547.66199,538.80902,555.16699,601.70398
44,573.88501,542.58698,534.203,550.35797
45,607.04901,568.35797,537.73999,529.27698
46,639.12402,600.99298,563.06897,532.47498
47,657.401,632.513,595.16101,557.23199
48,666.72601,650.31799,626.09003,588.64203
49,660.617,659.20398,643.38702,618.862
50,642.21899,652.77502,651.80499,635.56897
51,611.18597,634.17999,645.047,643.45398
52,574.45001,603.11499,626.26001,636.297
53,535.41498,566.45599,595.17603,617.216
54,496.15399,527.58099,558.60699,585.97302
55,458.18201,488.53101,519.88397,549.31299
56,421.61899,450.79401,481.01801,510.565
57,384.642,414.479,443.47501,471.74899
58,354.18799,377.79099,407.362,434.32999
59,334.461,347.52499,370.91101,398.41299
60,316.76501,327.819,340.85699,362.181
61,303.53601,310.03799,321.07999,332.33301
62,296.56601,296.61301,303.19601,312.51001
63,293.37,289.29199,289.58099,294.51801
64,291.07599,285.647,281.931,280.65601
65,282.328,282.87701,277.86301,272.564
66,270.20901,273.854,274.64099,267.94
67,255.31599,261.59201,265.349,264.16299
68,240.073,246.687,252.93401,254.62
69,234.27299,231.489,237.989,242.164
70,213.13901,225.41,222.797,227.34599
71,194.403,204.69701,216.47701,212.34599
72,177.7,186.242,196.076,205.69901
73,161,169.776,177.914,185.64301
74,146.83701,153.37199,161.715,167.711
75,134.093,139.43401,145.655,151.68201
76,122.075,126.891,131.99001,135.92
77,110.406,115.088,119.692,122.565
78,99.108002,103.668,108.132,110.666
79,88.141998,92.655998,96.976997,99.614998
80,77.439003,82.019997,86.254997,89.053001
81,67.616997,71.695999,75.947998,78.945999
82,59.415001,62.264,66.010002,69.234001
83,52.747002,54.391998,56.981998,59.862999
84,47.827,47.987999,49.460999,51.337002
85,43.651001,43.222,43.349998,44.212002
86,39.5,39.173,38.776001,38.412998
87,35.242001,35.187,34.888,34.042999
88,30.915001,31.146,31.093,30.353001
89,26.559999,27.09,27.290001,26.806999
90,22.318001,23.055,23.511999,23.315001
91,18.381001,19.165001,19.796,19.893999
92,14.44,15.59,16.253,16.569
93,11.067,12.073,13.036,13.434
94,8.2419996,9.1079998,9.9390001,10.621
95,6.0479999,6.6880002,7.3940001,7.9780002
96,4.3569999,4.8429999,5.3579998,5.849
97,3.1329999,3.437,3.8210001,4.1729999
98,2.2119999,2.4319999,2.6689999,2.928
99,1.523,1.689,1.857,2.0120001
100,2.6800001,3.0599999,3.464,3.829
